Survived,Pclass,Sex,Age,SibSp,Parch,Embarked,name_length,title,title_group,family_size,is_alone,ticket_group_size,cabin_score,name_word_count,Age_missing,Cabin_missing,log_Fare,log_fare_per_person,log_age_fare_ratio
1,1,female,29.69911764705882,0,0,C,30,Mrs,Mrs,1,1,1,7.624586857406905,4,True,True,4.384523514872469,4.384523514872469,0.0
1,1,female,42.0,0,0,C,21,Miss,Miss,1,1,4,7.222669318556591,3,False,True,5.4316456135398825,4.058389178739121,0.1694010279617622
1,3,male,26.0,0,0,S,14,Mr,Mr,1,1,7,0.3394597858579884,3,False,True,4.05171190165724,2.205082511632807,0.37858108384768346
1,3,female,18.0,0,0,S,25,Miss,Miss,1,1,1,1.6748258225906976,4,False,True,2.139571923732859,2.139595464499583,1.2241708690328226
0,2,male,30.0,0,0,S,18,Mr,Mr,1,1,1,7.694929331919369,3,False,True,2.6390573296152584,2.6390573296152584,1.1962507582320256
0,3,male,23.0,0,0,S,18,Mr,Mr,1,1,1,4.552201490818012,3,False,True,2.1855792552411137,2.1856017375082266,1.3642892798055852
1,1,female,47.0,1,1,S,48,Mrs,Mrs,3,0,2,3.910815366517607,6,False,False,3.9806942251907276,3.306043856253557,0.638857201463349
1,2,female,40.0,0,0,S,25,Miss,Miss,1,1,1,0.3654966784809488,4,False,True,2.6390573296152584,2.6390573296152584,1.405342556090585
0,1,male,56.0,0,0,C,23,Mr,Mr,1,1,1,9.293759891275858,4,False,False,3.4561841799918147,3.456190489956195,1.0382796022900074
0,3,female,18.0,0,0,Q,28,Miss,Miss,1,1,1,1.607598960483082,4,False,True,2.0476928433652555,2.0476928433652555,1.2992829841302609
0,3,male,29.69911764705882,0,0,S,18,Mr,Mr,1,1,1,6.166503145207381,3,True,True,2.1855792552411137,2.1856017375082266,0.0
1,1,female,23.0,1,0,C,22,Miss,Miss,2,0,3,5.830415609696922,3,False,False,4.738607824217808,3.6573371861040576,0.18485641239714265
1,2,female,33.0,0,2,S,45,Mrs,Mrs,3,0,2,1.8057534512733355,6,False,True,3.295836866004329,2.6390573296152584,0.8194409058842373
0,1,male,36.0,0,0,C,19,Mr,Mr,1,1,1,5.126885110165086,4,False,False,3.716616209085536,3.716616209085536,0.6403771445798812
0,3,male,22.0,0,0,S,21,Mr,Mr,1,1,1,7.795844735667533,3,False,True,2.2027647577118348,2.2027647577118348,1.3171905695507444
0,2,male,51.0,0,0,S,26,Rev,Other,1,1,1,3.5609672589784624,4,False,True,2.6045398247325453,2.6045398247325453,1.6237068822352994
1,1,female,35.0,1,0,S,44,Mrs,Mrs,2,0,2,4.626797856696064,6,False,False,4.436455632600354,3.7550884542242717,0.35015478202393374
1,3,female,29.69911764705882,0,0,Q,29,Miss,Miss,1,1,1,4.505441353100935,4,True,True,2.1837114628556327,2.1836889380501896,0.0
0,2,male,29.69911764705882,0,0,S,32,Mr,Mr,1,1,1,6.946964708544268,5,True,True,0.0,0.0,0.0
1,3,male,29.69911764705882,0,0,C,16,Mr,Mr,1,1,1,1.1355759219962902,3,True,True,2.1076888046179385,2.1076645006235757,0.0
0,3,female,17.0,0,0,C,21,Miss,Miss,1,1,2,6.18254771530296,3,False,True,2.738146075922933,2.1076645006235757,0.7773942151771172
1,1,male,29.69911764705882,0,0,C,20,Mr,Mr,1,1,1,0.4010919141248248,3,True,False,3.4242626545931514,3.4242626545931514,0.0
0,3,male,32.0,0,0,S,18,Mr,Mr,1,1,1,8.302198645669916,3,False,True,2.188856327665703,2.188856327665703,1.6169803743377318
1,3,male,31.0,0,0,S,18,Mr,Mr,1,1,1,6.855652872289713,3,False,True,2.188856327665703,2.188856327665703,1.5916143979567179
0,3,male,22.0,0,0,S,19,Mr,Mr,1,1,1,8.926717110769749,3,False,True,2.174274334826008,2.174297072692515,1.3407823168465163
1,1,female,39.0,1,1,C,52,Mrs,Mrs,3,0,4,6.496466489923685,7,False,False,4.717456363787216,3.3576285625153623,0.30137869439371545
0,3,female,29.69911764705882,0,0,Q,18,Miss,Miss,1,1,1,7.972953657795536,3,True,True,2.169053700369523,2.169053700369523,0.0
1,3,male,29.0,0,0,S,27,Mr,Mr,1,1,1,6.4087474480321465,4,False,True,2.3513752571634776,2.3513752571634776,1.3993664426872434
0,2,male,29.0,1,0,C,25,Mr,Mr,2,0,1,2.707446731435538,4,False,True,3.357621598945279,3.3576285625153623,0.7159579525626418
1,2,male,0.83,1,1,S,31,Master,Master,3,0,3,4.626229567393163,4,False,True,2.9831534913471307,1.9810014688665833,0.04331488468594444
1,2,female,24.0,1,2,S,19,Miss,Miss,4,0,2,5.5085737060913935,3,False,True,4.189654742026425,3.5115454388310208,0.3142490998365027
0,2,male,47.0,0,0,S,23,Mr,Mr,1,1,1,2.204862090701753,4,False,True,2.772588722239781,2.772588722239781,1.4190841839428814
1,1,male,26.0,0,0,C,21,Mr,Mr,1,1,1,7.067772168854458,4,False,False,3.4339872044851463,3.4339872044851463,0.6241543090729939
0,3,female,30.5,0,0,Q,18,Miss,Miss,1,1,1,9.866625932671464,3,False,True,2.169053700369523,2.169053700369523,1.5964507169072892
0,2,male,36.5,0,2,S,40,Mr,Mr,3,0,3,6.459172413316012,6,False,False,3.295836866004329,2.268718023482468,0.8770700187208736
1,3,female,4.0,1,1,S,31,Miss,Miss,3,0,2,5.941307153521351,4,False,False,2.8735646395797834,2.2353763433005955,0.21472498084861394
1,2,female,5.0,1,2,S,28,Miss,Miss,4,0,3,9.041586944937483,4,False,True,3.3586377672433594,2.327277705584417,0.16566712188881733
1,2,male,1.0,2,1,S,25,Master,Master,4,0,2,2.4240973241508024,4,False,False,3.6888794541139363,3.0204248861443626,0.025317807984289835
0,2,male,26.0,0,0,S,19,Mr,Mr,1,1,1,2.5975378376032623,3,False,True,2.4423470353692043,2.4423470353692043,1.2459370034249682
0,3,male,18.0,1,1,S,22,Mr,Mr,3,0,1,5.567628930139298,4,False,True,2.180891922715322,2.180869334309949,1.1914246430157773
0,3,male,26.0,1,0,S,23,Mr,Mr,2,0,1,6.936822257814886,4,False,True,2.180891922715322,2.180869334309949,1.4610146479079027
1,1,male,27.0,1,0,S,29,Mr,Mr,2,0,2,6.5166682537588505,4,False,False,3.9908341858524357,3.3160025355989236,0.4110989258264204
0,3,male,10.0,3,2,S,28,Master,Master,6,0,6,4.98195716453139,4,False,True,3.3638415951183864,1.7316555451583497,0.30632442326106063
0,1,male,51.0,0,1,C,27,Mr,Mr,2,0,1,1.5285913918433205,4,False,True,4.133231886474144,4.133228680272067,0.6048078514090864
1,3,male,39.0,0,0,S,18,Mr,Mr,1,1,1,5.902949425148077,3,False,True,2.188856327665703,2.188856327665703,1.7785282627092283
0,2,male,36.0,0,0,S,23,Mr,Mr,1,1,1,2.051396404820072,4,False,True,2.6390573296152584,2.6390573296152584,1.32687094064909
1,2,male,1.0,0,2,C,21,Master,Master,3,0,2,6.802282424312914,3,False,True,3.637696679934592,2.9705170244129273,0.02666526021902537
0,1,male,29.69911764705882,0,0,S,29,Mr,Mr,1,1,1,5.657319639957911,5,True,True,0.0,0.0,0.0
0,3,male,29.69911764705882,0,0,Q,18,Mr,Mr,1,1,1,4.963662472012364,3,True,True,2.1661924680884908,2.1661924680884908,0.0
0,3,male,14.0,4,1,S,24,Mr,Mr,6,0,6,9.734889691773969,4,False,True,3.705920919968788,2.0301199863471253,0.30214392309156374
1,1,male,48.0,0,0,S,19,Mr,Mr,1,1,1,6.636711653626481,3,False,False,3.3160025355989236,3.3160025355989236,1.0324402935227996
0,3,male,29.69911764705882,1,2,S,22,Mr,Mr,4,0,2,6.894649691372657,4,True,True,3.196630215920881,2.5435685624365862,0.0
1,1,female,18.0,2,2,C,26,Miss,Miss,5,0,2,0.0463202300460285,4,False,False,5.5735788721243535,4.884225151739353,0.06635321469957525
0,3,male,29.69911764705882,8,2,S,26,Master,Master,11,0,7,2.850951686938471,4,True,True,4.256321678298823,2.3920600994216485,0.0
1,3,male,1.0,1,2,S,26,Master,Master,4,0,2,6.364302495436367,4,False,True,3.0715352369694915,2.423740214550513,0.04745849040635804
1,3,female,29.69911764705882,0,0,Q,33,Miss,Miss,1,1,1,9.461154621336329,5,True,True,2.1837114628556327,2.1836889380501896,0.0
0,3,male,51.0,0,0,S,32,Mr,Mr,1,1,1,2.9446575954191765,4,False,True,2.169053700369523,2.169053700369523,2.0255983096590127
0,1,male,29.69911764705882,0,0,S,19,Mr,Mr,1,1,1,9.69470433275369,4,True,True,3.2930552230424524,3.2930552230424524,0.0
1,2,female,28.0,0,0,S,17,Miss,Miss,1,1,1,8.78629986355158,3,False,True,2.6390573296152584,2.6390573296152584,1.148622709242771
1,2,female,24.0,2,1,S,51,Mrs,Mrs,4,0,2,8.158331249906178,7,False,True,3.332204510175204,2.6741486494265287,0.6359887667199967
1,3,male,32.0,0,0,S,17,Mr,Mr,1,1,1,9.499611839502254,3,False,True,2.180891922715322,2.180869334309949,1.624179374351713
1,1,female,35.0,0,0,S,22,Miss,Miss,1,1,3,6.411476328852973,3,False,False,4.91730069488021,3.8332178649856155,0.2295618888658791
0,1,male,71.0,0,0,C,25,Mr,Mr,1,1,1,2.063337184057925,4,False,False,3.57386695198272,3.57386134252967,1.1147525667647726
1,2,female,50.0,0,0,S,20,Miss,Miss,1,1,1,3.3987496376806616,3,False,True,2.4423470353692043,2.4423470353692043,1.751268107873318
0,3,female,22.0,0,0,S,27,Miss,Miss,1,1,1,7.281887562036033,4,False,True,2.3830123421066602,2.3830584771439223,1.174443226562054
0,3,male,7.0,4,1,Q,18,Master,Master,6,0,5,4.620058036441327,3,False,True,3.405355391810819,1.9205923410710235,0.2153882345467315
0,2,male,30.0,1,0,C,19,Mr,Mr,2,0,2,0.5476163882203133,3,False,True,3.2188758248682006,2.5649493574615367,0.8109302162163288
0,3,male,34.0,1,1,S,25,Mr,Mr,3,0,2,0.8698675991141014,4,False,True,2.7343675094195836,2.1041341542702074,1.2122716071406312
1,3,female,29.69911764705882,0,0,Q,20,Miss,Miss,1,1,1,8.617856210135173,3,True,True,2.1837114628556327,2.1836889380501896,0.0
0,3,male,43.0,0,0,S,15,Mr,Mr,1,1,1,7.61027902502028,3,False,True,2.2027647577118348,2.2027647577118348,1.8471334531802026
0,1,male,60.0,0,0,S,15,Col,Other,1,1,1,4.886431904046658,3,False,True,3.3160025355989236,3.3160025355989236,1.1816925339342705
1,3,female,1.0,0,2,C,27,Miss,Miss,3,0,2,8.556964681062858,4,False,True,2.817902613071225,2.18278752953845,0.06158937083150456
1,3,female,29.0,0,2,C,39,Mrs,Mrs,3,0,1,5.698896848713165,6,False,True,2.7878344138303452,2.7878467246287624,1.065456396409862
0,3,male,48.0,0,0,S,23,Mr,Mr,1,1,1,7.024649705441039,4,False,True,2.180891922715322,2.180869334309949,1.961696303557188
0,3,male,43.0,0,0,S,32,Mr,Mr,1,1,1,6.587077755008761,5,False,True,2.0082140323914683,2.0082140323914683,2.03688192726104
0,1,male,24.0,0,1,C,24,Mr,Mr,2,0,2,0.366832028905979,4,False,False,5.515526544247129,4.826391891739602,0.09254412897594466
0,2,male,59.0,0,0,S,25,Mr,Mr,1,1,1,7.476093801762511,4,False,True,2.6741486494265287,2.6741486494265287,1.6808968764162453
0,3,female,39.0,1,5,S,57,Mrs,Mrs,7,0,7,8.887480798689772,7,False,True,3.4742929367327062,1.6989129188617031,0.8095970604396208
1,1,male,17.0,0,2,C,27,Mr,Mr,3,0,4,8.736771141863388,5,False,False,4.717456363787216,3.3576285625153623,0.1426398323978101
0,3,female,31.0,1,0,S,55,Mrs,Mrs,2,0,1,0.5637549665092711,7,False,True,2.9444389791664403,2.9444389791664403,1.001448540214462
0,3,female,6.0,4,2,S,34,Miss,Miss,7,0,7,2.192139873580443,5,False,True,3.4742929367327062,1.6989129188617031,0.17550380429782722
0,3,male,38.0,0,0,S,15,Mr,Mr,1,1,1,8.062012797930613,3,False,True,2.1855792552411137,2.1856017375082266,1.7600426370821058
0,3,male,20.0,0,0,S,29,Mr,Mr,1,1,2,7.734731256866007,4,False,True,2.3837779082709782,1.778843077294828,1.1089991581090417
0,1,male,29.69911764705882,0,0,S,16,Mr,Mr,1,1,1,3.3689579177110685,3,True,False,0.0,0.0,0.0
1,1,female,29.69911764705882,0,0,C,23,Miss,Miss,1,1,4,5.912754357449293,3,True,True,4.717456363787216,3.3576285625153623,0.0
0,3,male,30.0,0,0,S,30,Mr,Mr,1,1,1,1.5615259736619036,5,False,True,2.1102132003465894,2.1102132003465894,1.6366504759589853
1,2,male,0.83,0,2,S,29,Master,Master,3,0,2,1.2804583895777244,4,False,True,3.4011973816621555,2.740840023925201,0.02821876854018311
0,3,male,19.0,0,0,S,20,Mr,Mr,1,1,2,4.674015112498697,3,False,True,2.740840023925201,2.1102132003465894,0.837396789404492
1,3,male,3.0,1,1,S,38,Master,Master,3,0,2,5.648411332626164,5,False,True,2.8273136219290276,2.191653532286764,0.1728428128394108
0,2,male,39.0,0,0,S,46,Mr,Mr,1,1,2,2.207696127887604,7,False,True,3.295836866004329,2.6390573296152584,0.9162907318741551
0,2,male,50.0,0,0,S,23,Mr,Mr,1,1,1,0.3113408288451136,4,False,True,2.6390573296152584,2.6390573296152584,1.578185368929996
0,3,female,29.69911764705882,0,0,S,39,Mrs,Mrs,1,1,1,0.2246930832011739,6,True,True,2.2027647577118348,2.2027647577118348,0.0
1,2,female,28.0,1,0,C,37,Mrs,Mrs,2,0,2,6.567366645412922,5,False,True,3.2188758248682006,2.5649493574615367,0.7731898882334818
1,3,female,33.0,3,0,S,55,Mrs,Mrs,4,0,2,4.739616402628723,7,False,True,2.8243506567983707,2.188856327665703,1.125584878165502
1,3,female,29.69911764705882,0,0,Q,19,Miss,Miss,1,1,1,0.2709599250348349,3,True,True,2.169053700369523,2.169053700369523,0.0
0,1,male,29.69911764705882,0,0,S,18,Mr,Mr,1,1,1,7.247667715287615,3,True,False,5.406181146423973,5.40618024867369,0.0
0,3,male,29.69911764705882,0,0,Q,16,Mr,Mr,1,1,1,0.26366974497252,3,True,True,2.246892662898172,2.2468609442216843,0.0
0,1,male,50.0,1,0,S,25,Mr,Mr,2,0,2,2.064212717606032,4,False,False,4.041295341132285,3.3655702040190043,0.6389308724463072
0,1,male,28.0,1,0,C,23,Mr,Mr,2,0,2,6.181282404578958,4,False,True,4.420896324687287,3.7396913826635396,0.2932318810215027
0,3,female,29.69911764705882,0,0,S,28,Miss,Miss,1,1,1,8.995745732745684,4,True,True,2.145931282948669,2.145931282948669,0.0
0,3,male,16.0,1,3,S,22,Mr,Mr,5,0,4,6.675577385210271,4,False,True,3.5660053559634015,2.261137903079872,0.38216546428011167
0,3,male,29.69911764705882,0,0,S,26,Mr,Mr,1,1,1,1.069806388269584,4,True,True,2.1719067693519296,2.1719067693519296,0.0
0,3,male,2.0,3,1,S,30,Master,Master,5,0,4,8.105533307818328,4,False,True,3.0944457464900235,1.8356168522918315,0.09066227650099669
0,1,male,64.0,0,0,S,28,Mr,Mr,1,1,1,3.507118154517101,4,False,True,3.295836866004329,3.295836866004329,1.241713132308783
0,3,male,26.0,1,2,S,23,Mr,Mr,4,0,2,0.8870253375705561,4,False,True,3.0715352369694915,2.423740214550513,0.8169871699245187
1,3,female,24.0,0,2,S,51,Mrs,Mrs,3,0,2,4.214245505924979,6,False,False,2.8735646395797834,2.2353763433005955,0.8908193730258399
0,3,male,19.0,0,0,S,31,Mr,Mr,1,1,4,1.2466268120326685,5,False,True,0.0,0.0,0.0
0,3,female,23.0,0,0,S,28,Miss,Miss,1,1,1,1.8211791568869928,4,False,True,2.188856327665703,2.188856327665703,1.3615425985152074
1,1,female,58.0,0,1,S,45,Mrs,Mrs,2,0,3,7.200365365460744,6,False,False,5.039951348430309,3.9542008803270154,0.32059144029445186
1,3,female,29.69911764705882,0,0,Q,24,Miss,Miss,1,1,1,4.732099066915572,3,True,True,2.1676241075599285,2.167681330529244,0.0
1,3,male,29.69911764705882,0,0,S,12,Mr,Mr,1,1,7,0.2212355152899725,3,True,True,4.05171190165724,2.205082511632807,0.0
1,2,male,3.0,1,1,S,30,Master,Master,3,0,3,9.484533069621566,4,False,True,2.9831534913471307,1.9810014688665833,0.1484200051182733
0,3,male,47.0,0,0,S,27,Mr,Mr,1,1,1,2.5813343270112754,4,False,True,2.302585092994046,2.302585092994046,1.8281271133989299
0,3,male,21.0,0,0,S,26,Mr,Mr,1,1,1,8.065611478614498,4,False,True,2.2027647577118348,2.2027647577118348,1.2833463918674481
0,3,female,20.0,1,0,S,23,Miss,Miss,2,0,1,4.845229851910213,3,False,True,2.3818582738885534,2.3818582738885534,1.110416810228655
1,1,female,38.0,1,0,C,51,Mrs,Mrs,2,0,1,4.182430362906189,7,False,False,4.2805931204649,4.280588970120041,0.42728151463672404
0,3,male,32.0,0,0,S,32,Mr,Mr,1,1,1,4.988881534513561,4,False,True,2.236712348843338,2.2366589428778787,1.5741437106300467
1,1,female,39.0,1,0,S,41,Mrs,Mrs,2,0,2,1.6703394609207525,6,False,False,4.041295341132285,3.3655702040190043,0.5292593254548288
0,2,male,30.0,0,0,S,27,Mr,Mr,1,1,1,7.4112064929005905,4,False,True,2.6390573296152584,2.6390573296152584,1.1962507582320256
0,3,male,33.0,0,0,C,20,Mr,Mr,1,1,1,0.2007119777772636,3,False,True,2.1855792552411137,2.1856017375082266,1.6446963957595366
1,3,female,5.0,0,0,S,29,Miss,Miss,1,1,2,3.506269312091808,4,False,True,2.600836116795061,1.9793449251415507,0.33704464648229154
1,2,male,31.0,0,0,S,21,Mr,Mr,1,1,1,9.320281055100176,3,False,True,2.6390573296152584,2.6390573296152584,1.2192402764567245
0,3,male,16.0,4,1,S,25,Mr,Mr,6,0,6,2.292513952326414,4,False,True,3.705920919968788,2.0301199863471253,0.33871942857811765
0,2,male,28.0,0,1,S,17,Rev,Other,2,0,3,2.768277972350516,3,False,True,3.5263605246161616,2.4849066497880004,0.614366302706831
0,2,male,66.0,0,0,S,21,Mr,Mr,1,1,1,6.717006844058568,4,False,True,2.4423470353692043,2.4423470353692043,1.9859154836690125
0,1,male,22.0,0,0,C,19,Mr,Mr,1,1,3,1.0410858198457384,3,False,True,4.91730069488021,3.8332178649856155,0.15031652894162595
1,2,female,42.0,1,0,S,51,Mrs,Mrs,2,0,1,6.514203883518642,7,False,True,3.295836866004329,3.295836866004329,0.9614111671546247
1,3,female,16.0,0,0,Q,25,Miss,Miss,1,1,1,1.2429722348554473,4,False,True,2.169053700369523,2.169053700369523,1.1198896871153945
0,3,male,17.0,0,0,S,15,Mr,Mr,1,1,1,5.245113895702547,3,False,True,2.2682524139135403,2.268200666132215,1.0860274178290303
1,3,female,22.0,0,0,S,24,Miss,Miss,1,1,1,5.371065418185478,4,False,True,2.169053700369523,2.169053700369523,1.3451362886263831
0,3,male,29.69911764705882,0,0,S,24,Mr,Mr,1,1,1,1.2887972191064925,4,True,True,2.2027647577118348,2.2027647577118348,0.0
0,3,male,29.0,0,0,S,20,Mr,Mr,1,1,1,1.6893506307216457,3,False,True,2.2027647577118348,2.2027647577118348,1.5265962603116237
1,1,female,41.0,0,0,C,31,Miss,Miss,1,1,2,9.968742518459472,4,False,False,4.908971640319756,4.223177434065069,0.2660748438640267
1,3,male,24.0,0,0,S,25,Mr,Mr,1,1,1,2.4247050363472966,4,False,True,2.0969990034181696,2.097035850080787,1.4725969138307577
0,3,male,29.69911764705882,0,0,S,22,Mr,Mr,1,1,1,1.5167487973275118,4,True,True,2.1102132003465894,2.1102132003465894,0.0
0,3,female,3.0,3,1,S,26,Miss,Miss,5,0,4,7.999160853731894,4,False,True,3.0944457464900235,1.8356168522918315,0.13308645379627013
0,2,male,54.0,1,0,S,29,Rev,Other,2,0,2,7.885972112245307,4,False,True,3.295836866004329,2.6390573296152584,1.1239300966523995
0,3,male,28.0,2,0,S,28,Mr,Mr,3,0,1,1.8143543508979727,4,False,True,2.188856327665703,2.188856327665703,1.5114111122017444
0,3,male,29.69911764705882,0,0,S,24,Mr,Mr,1,1,1,4.034828662123971,4,True,True,2.2027647577118348,2.2027647577118348,0.0
1,2,female,13.0,0,1,S,33,Miss,Miss,2,0,2,5.189177052828375,4,False,True,3.0204248861443626,2.3749057545736716,0.5108256237659907
1,3,female,18.0,0,0,S,23,Miss,Miss,1,1,1,0.678370591051719,4,False,True,2.3833998102837652,2.3834274808381464,1.0399064364505435
0,3,male,26.0,0,0,S,17,Mr,Mr,1,1,1,1.6352387258502277,3,False,True,2.1855792552411137,2.1856017375082266,1.456960140375883
0,3,male,29.69911764705882,3,1,S,29,Master,Master,5,0,4,5.716126894698999,4,True,True,3.275887339030031,1.9970105677006766,0.0
1,3,female,23.0,0,0,S,31,Miss,Miss,1,1,1,0.2924728303455914,5,False,True,2.145931282948669,2.145931282948669,1.397817122356671
0,2,male,30.0,0,0,S,18,Mr,Mr,1,1,1,1.636559428657045,3,False,True,2.4423470353692043,2.4423470353692043,1.349926716949016
0,3,male,29.69911764705882,0,0,S,26,Mr,Mr,1,1,1,8.952068376871994,4,True,True,2.2027647577118348,2.2027647577118348,0.0
1,1,female,44.0,0,1,C,47,Mrs,Mrs,2,0,2,1.205668857772788,7,False,False,4.077184839375167,3.4008639927609177,0.5646845453838268
1,1,female,35.0,1,0,S,51,Mrs,Mrs,2,0,2,3.971835296184549,7,False,True,3.970291913552122,3.295836866004329,0.5146644000731564
0,3,male,24.0,0,0,S,16,Mr,Mr,1,1,1,4.24130671302386,3,False,True,2.1855792552411137,2.1856017375082266,1.3961433671509238
1,2,female,34.0,0,1,S,36,Mrs,Mrs,2,0,2,5.034172708548569,7,False,True,3.1780538303479458,2.5257286443082556,0.9075570519054004
0,1,male,24.0,0,0,C,18,Mr,Mr,1,1,2,4.984421989290572,3,False,False,4.384523514872469,3.703768066607687,0.26469255422708216
1,3,male,16.0,0,0,S,30,Mr,Mr,1,1,1,1.6426579793099294,4,False,True,2.2027647577118348,2.2027647577118348,1.094462905121298
1,2,female,24.0,1,0,S,35,Mrs,Mrs,2,0,2,3.4634599436596125,5,False,True,3.295836866004329,2.6390573296152584,0.653926467406664
0,3,male,29.69911764705882,0,0,Q,16,Mr,Mr,1,1,1,8.09516074724878,3,True,True,2.169053700369523,2.169053700369523,0.0
1,3,male,32.0,0,0,S,19,Mr,Mr,1,1,1,2.3167170138344337,3,False,True,2.188856327665703,2.188856327665703,1.6169803743377318
